27345,00
20805,00
2056,00
3351,00
12851,00
2393,00
1886,00
22131,00
6725,00
27078,00
7168,00
1257,00
8993,00
14576,00
8958,00
5304,00
10824,00
4678,00
5367,00
5354,00
9475,00
7112,00
4738,00
8719,00
16427,00
15952,00
9757,00
4768,00
17478,00
7415,00
11394,00
21155,00
15215,00
16962,00
6844,00
13117,00
10131,00
13471,00
16348,00
85100,00
37643,00
266664,00
70673,00
4392,00
5281,00
34063,00
9119,00
45842,00
5315,00
9260,00
13793,00
42364,00
125207,00
6441,00
47987,00
15877,00
11047,00
8732,00
88474,00
23819,00
359725,00
223078,00
66635,00
99114,00
67938,00
10922,00
34723,00
67484,00
