108364,83
5652,78
2264,14
1517,08
52932,59
53632,67
8954,85
41984,30
25712,13
30093,92
2698,70
5871,63
1800,14
1330,74
7403,26
6849,94
24032,25
132,38
13237,84
6651,07
17537,60
6659,54
2847,99
2750,48
7954,20
5596,41
35981,18
20966,89
7038,00
3515,92
7099,12
22169,91
32598,20
12916,03
23023,07
2985,69
2557,70
115,55
22,24
2862,35
12336,46
74866,75
14790,74
6121,18
5955,65
9869,19
5932,14
4490,89
703,29
509,96
1317,92
5586,76
9406,90
2835,94
12376,66
20800,95
2587,52
4663,93
6470,91
6,76
2213,04
68,66
73,34
2,79
224,02
1857,25
49,11
0,00
