71871,52
25706,88
17477,37
185,96
498,73
6,03
8,50
180862,42
17123,64
167846,07
39339,57
7620,39
16713,80
56435,49
30188,29
2172,77
13316,01
1122,84
109764,93
18780,23
2847,72
2908,03
30279,00
37143,95
14689,53
3547,59
1546,94
1684,03
11838,71
33223,35
17457,15
4590,39
67911,07
1357,22
7137,32
41780,99
37,67
89910,31
31498,97
822,86
84007,34
480216,54
107106,04
1996,11
9804,94
27630,16
5791,50
216264,91
9288,19
2087,34
98634,87
1405,88
288635,58
521706,35
16609,34
858,06
1455,86
2530,68
12828,53
506,18
12586,81
1077,92
118208,22
1651,04
183858,92
21931,40
86101,65
71458,00
